,date,location_ordinal,sku,price,discount,color_desc,style_desc,pid_desc,district_ordinal,state_ordinal,Discount,store_ID
37491,2017-10-30,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
37535,2017-10-29,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
37570,2017-11-09,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
37603,2017-11-08,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
37651,2017-11-11,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
37707,2017-11-10,3,651,8.0,2.23,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.27875,943
37754,2017-11-05,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
37838,2017-11-07,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
37872,2017-11-06,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
37965,2017-11-16,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
38010,2017-11-19,3,651,8.0,2.59,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.324561404,943
38057,2017-11-18,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
38098,2017-11-13,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
38346,2017-11-24,3,651,8.0,2.98,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.373433584,943
38422,2017-11-27,3,651,8.0,2.58,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32330827100000004,943
38495,2017-11-21,3,651,8.0,2.0,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.250626566,943
38717,2017-12-04,3,651,8.0,1.29,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.161654135,943
38844,2017-12-01,3,651,8.0,0.0,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.0,943
38941,2017-12-10,3,651,8.0,2.57,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.322055138,943
38987,2017-12-13,3,651,8.0,0.77,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.09649122800000001,943
39029,2017-12-12,3,651,8.0,2.98,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.373433584,943
